"ID";"q1";"q2";"q3";"q4";"q5";"q6";"q7";"q8";"q9";"q10";"q11";"q12";"comentariodisc";"MATRICULA";"DISCIPLINA";"TURMA";"SITUACAO"
"20";"5";"5";"5";"3";"4";"3";"5";"5";"5";"2";"3";"4";;"217115549";"FCHC45";"10000";"aprovado"
"21";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"4";"4";;"217115549";"MATA04";"10000";"aprovado"
"22";"4";"5";"3";"1";"3";"2";"5";"5";"2";"4";"4";"5";;"217115549";"MATD41";"10000";"aprovado"
"23";"5";"5";"5";"3";"3";"5";"5";"4";"5";"2";"4";"2";;"216115595";"MATD43";"10000";"aprovado"
"24";"3";"4";"4";"3";"3";"3";"4";"4";"3";"3";"4";"2";;"216115595";"MATD44";"10000";"aprovado"
"25";"5";"2";"5";"5";"4";"5";"5";"5";"5";"4";"5";"2";;"216115595";"MATD46";"100";"aprovado"
"26";"5";"5";"4";"4";"4";"4";"4";"4";"5";"1";"3";"2";"Disciplina deveria ter no mínimo 68 horas.";"216115595";"MATE56";"10100";"aprovado"
"27";"2";"5";"5";"5";"5";"5";"5";"3";"5";"1";"2";"4";;"216115595";"MAT229";"10100";"aprovado"
"28";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"1";"5";;"216115595";"MAT191";"10100";"aprovado"
"29";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"1";"5";;"216115595";"ISCA82";"90900";"aprovado"
"30";"2";"4";"1";"1";"3";"3";"4";"4";"2";"1";"3";"3";;"218115663";"MAT198";"20200";"reprovadoNota"
"31";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";;"218115663";"MATA02";"50000";"reprovadoFalta"
"32";"5";"5";"5";"4";"5";"5";"4";"5";"5";"5";"4";"5";"Excelente professora. Queria ter todas as matérias de matemática com ela";"218115663";"MATA01";"70000";"aprovado"
"33";"5";"5";"5";"4";"5";"5";"5";"5";"5";"5";"4";"5";;"218115663";"MATB59";"10100";"aprovado"
"34";"5";"5";"5";"4";"5";"5";"5";"5";"5";"5";"4";"4";;"218119846";"MATB59";"20200";"aprovado"
"35";"5";"5";"5";"3";"5";"4";"5";"5";"5";"5";"5";"3";;"218119846";"MATA03";"80000";"reprovadoNota"
"36";"5";"5";"5";"2";"4";"4";"5";"2";"5";"5";"5";"5";;"218119846";"MATA07";"80000";"reprovadoNota"
"37";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"4";"4";;"218119846";"MAT198";"20200";"aprovado"
"38";"5";"3";"5";"4";"5";"5";"5";"5";"5";"5";"5";"5";;"201515298";"MATD46";"100";"aprovado"
"39";"5";"5";"3";"3";"3";"3";"5";"5";"5";"5";"5";"5";;"216217826";"MAT174";"30300";"aprovado"
"40";"3";"5";"5";"4";"4";"3";"5";"5";"5";"2";"5";"5";;"216217826";"MAT224";"10100";"aprovado"
"41";"2";"4";"2";"2";"3";"2";"3";"2";"3";"5";"5";"5";;"216217826";"MATD41";"10000";"aprovado"
"42";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"3";"5";;"216217826";"MATD45";"100";"aprovado"
"43";"5";"5";"5";"5";"5";"5";"5";"5";"5";"2";"2";"5";;"216122574";"MAT229";"10100";"aprovado"
"44";"3";"5";"3";"3";"2";"4";"4";"3";"3";"5";"3";"4";;"216122574";"MATD44";"10000";"aprovado"
"45";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"2";"5";;"216122574";"MATD45";"100";"aprovado"
"46";"5";"4";"5";"4";"4";"4";"5";"5";"5";"5";"3";"5";;"216122574";"MATD46";"100";"aprovado"
"47";"5";"5";"3";"3";"3";"3";"5";"5";"5";"5";"4";"4";;"216122574";"FCHC45";"10000";"aprovado"
"48";"5";"5";"4";"5";"5";"4";"5";"5";"5";"5";"2";"5";;"216122574";"MATD43";"10000";"aprovado"
"49";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"4";"3";;"217220656";"MATB59";"10100";"aprovado"
